filepath_rel,class_id,split,base_id,is_original,filepath,image_id,sol,instrument,class_name
0042MR0001830110101823Q01_DRCL.jpg,2,train,0042MR0001830110101823Q01_DRCL,True,data/msl/extracted/msl-labeled-data-set-v2.1/images/0042MR0001830110101823Q01_DRCL.jpg,0042MR0001830110101823Q01_DRCL,42,mastcam_right,Artifact
0442MH0001520020200158I01_DRCL.jpg,4,train,0442MH0001520020200158I01_DRCL,True,data/msl/extracted/msl-labeled-data-set-v2.1/images/0442MH0001520020200158I01_DRCL.jpg,0442MH0001520020200158I01_DRCL,442,mahli,Close-up rock
0948MH0004910060303925I01_DRCL.jpg,4,train,0948MH0004910060303925I01_DRCL,True,data/msl/extracted/msl-labeled-data-set-v2.1/images/0948MH0004910060303925I01_DRCL.jpg,0948MH0004910060303925I01_DRCL,948,mahli,Close-up rock
0037ML0000990110101254Q01_DRCL.jpg,15,train,0037ML0000990110101254Q01_DRCL,True,data/msl/extracted/msl-labeled-data-set-v2.1/images/0037ML0000990110101254Q01_DRCL.jpg,0037ML0000990110101254Q01_DRCL,37,mastcam_left,Sun
0042MR0001810030101417Q01_DRCL.jpg,2,train,0042MR0001810030101417Q01_DRCL,True,data/msl/extracted/msl-labeled-data-set-v2.1/images/0042MR0001810030101417Q01_DRCL.jpg,0042MR0001810030101417Q01_DRCL,42,mastcam_right,Artifact
0042MR0001810030101428Q01_DRCL.jpg,2,train,0042MR0001810030101428Q01_DRCL,True,data/msl/extracted/msl-labeled-data-set-v2.1/images/0042MR0001810030101428Q01_DRCL.jpg,0042MR0001810030101428Q01_DRCL,42,mastcam_right,Artifact
0289ML0009620000106354M00_DRCL.jpg,2,train,0289ML0009620000106354M00_DRCL,True,data/msl/extracted/msl-labeled-data-set-v2.1/images/0289ML0009620000106354M00_DRCL.jpg,0289ML0009620000106354M00_DRCL,289,mastcam_left,Artifact
0393MR0016220130302162E01_DRCL.jpg,2,train,0393MR0016220130302162E01_DRCL,True,data/msl/extracted/msl-labeled-data-set-v2.1/images/0393MR0016220130302162E01_DRCL.jpg,0393MR0016220130302162E01_DRCL,393,mastcam_right,Artifact
0037MR0000990110101152Q01_DRCL.jpg,2,train,0037MR0000990110101152Q01_DRCL,True,data/msl/extracted/msl-labeled-data-set-v2.1/images/0037MR0000990110101152Q01_DRCL.jpg,0037MR0000990110101152Q01_DRCL,37,mastcam_right,Artifact
0805MH0003070020300530I01_DRCL.jpg,4,train,0805MH0003070020300530I01_DRCL,True,data/msl/extracted/msl-labeled-data-set-v2.1/images/0805MH0003070020300530I01_DRCL.jpg,0805MH0003070020300530I01_DRCL,805,mahli,Close-up rock
0101ML0006740160103015E01_DRCL.jpg,2,train,0101ML0006740160103015E01_DRCL,True,data/msl/extracted/msl-labeled-data-set-v2.1/images/0101ML0006740160103015E01_DRCL.jpg,0101ML0006740160103015E01_DRCL,101,mastcam_left,Artifact
0042MR0001810030101446Q01_DRCL.jpg,2,train,0042MR0001810030101446Q01_DRCL,True,data/msl/extracted/msl-labeled-data-set-v2.1/images/0042MR0001810030101446Q01_DRCL.jpg,0042MR0001810030101446Q01_DRCL,42,mastcam_right,Artifact
0019MR0000540840100254C00_DRCL.jpg,3,train,0019MR0000540840100254C00_DRCL,True,data/msl/extracted/msl-labeled-data-set-v2.1/images/0019MR0000540840100254C00_DRCL.jpg,0019MR0000540840100254C00_DRCL,19,mastcam_right,Nearby surface
0150MH0001680020101381I01_DRCL.jpg,4,train,0150MH0001680020101381I01_DRCL,True,data/msl/extracted/msl-labeled-data-set-v2.1/images/0150MH0001680020101381I01_DRCL.jpg,0150MH0001680020101381I01_DRCL,150,mahli,Close-up rock
0399MH0001520020104619I01_DRCL.jpg,4,train,0399MH0001520020104619I01_DRCL,True,data/msl/extracted/msl-labeled-data-set-v2.1/images/0399MH0001520020104619I01_DRCL.jpg,0399MH0001520020104619I01_DRCL,399,mahli,Close-up rock
0042MR0006330000102078I01_DRCL.jpg,2,train,0042MR0006330000102078I01_DRCL,True,data/msl/extracted/msl-labeled-data-set-v2.1/images/0042MR0006330000102078I01_DRCL.jpg,0042MR0006330000102078I01_DRCL,42,mastcam_right,Artifact
0042MR0001810030101414Q01_DRCL.jpg,2,train,0042MR0001810030101414Q01_DRCL,True,data/msl/extracted/msl-labeled-data-set-v2.1/images/0042MR0001810030101414Q01_DRCL.jpg,0042MR0001810030101414Q01_DRCL,42,mastcam_right,Artifact
0374ML0015420050200003D01_DRCL.jpg,2,train,0374ML0015420050200003D01_DRCL,True,data/msl/extracted/msl-labeled-data-set-v2.1/images/0374ML0015420050200003D01_DRCL.jpg,0374ML0015420050200003D01_DRCL,374,mastcam_left,Artifact
0181MH0001680020102564C00_DRCL.jpg,4,train,0181MH0001680020102564C00_DRCL,True,data/msl/extracted/msl-labeled-data-set-v2.1/images/0181MH0001680020102564C00_DRCL.jpg,0181MH0001680020102564C00_DRCL,181,mahli,Close-up rock
0860MH0003080020302076I01_DRCL.jpg,4,train,0860MH0003080020302076I01_DRCL,True,data/msl/extracted/msl-labeled-data-set-v2.1/images/0860MH0003080020302076I01_DRCL.jpg,0860MH0003080020302076I01_DRCL,860,mahli,Close-up rock
0344ML0013960260108165E01_DRCL.jpg,3,train,0344ML0013960260108165E01_DRCL,True,data/msl/extracted/msl-labeled-data-set-v2.1/images/0344ML0013960260108165E01_DRCL.jpg,0344ML0013960260108165E01_DRCL,344,mastcam_left,Nearby surface
0489ML0019470460202431D01_DRCL.jpg,2,train,0489ML0019470460202431D01_DRCL,True,data/msl/extracted/msl-labeled-data-set-v2.1/images/0489ML0019470460202431D01_DRCL.jpg,0489ML0019470460202431D01_DRCL,489,mastcam_left,Artifact
0049MR0002190210102712E01_DRCL.jpg,3,train,0049MR0002190210102712E01_DRCL,True,data/msl/extracted/msl-labeled-data-set-v2.1/images/0049MR0002190210102712E01_DRCL.jpg,0049MR0002190210102712E01_DRCL,49,mastcam_right,Nearby surface
