class_id,class_name,precision,recall,f1,support
0,Arm cover,1.0,0.5,0.6666666666666666,4
1,Other rover part,0.7272727272727273,0.8,0.7619047619047619,10
2,Artifact,0.8523489932885906,0.9621212121212122,0.9039145907473309,132
3,Nearby surface,0.9314285714285714,0.8716577540106952,0.9005524861878453,187
4,Close-up rock,0.6346153846153846,0.7857142857142857,0.7021276595744681,84
5,DRT,1.0,0.6666666666666666,0.8,6
6,DRT spot,0.11764705882352941,0.2857142857142857,0.16666666666666666,7
7,Distant landscape,0.8157894736842105,0.9117647058823529,0.8611111111111112,34
8,Drill hole,0.6428571428571429,0.75,0.6923076923076923,12
9,Night sky,0.2,0.25,0.2222222222222222,4
10,Float,0.14285714285714285,1.0,0.25,1
11,Layers,0.8571428571428571,0.7058823529411765,0.7741935483870968,17
12,Light-toned veins,0.0,0.0,0.0,27
13,Mastcam cal target,0.9333333333333333,0.9655172413793104,0.9491525423728814,29
14,Sand,0.6666666666666666,0.5,0.5714285714285714,16
15,Sun,0.875,0.3684210526315789,0.5185185185185185,19
16,Wheel,0.6666666666666666,0.8,0.7272727272727273,5
17,Wheel joint,1.0,0.8,0.8888888888888888,5
18,Wheel tracks,0.0,0.0,0.0,1
