class_name,f1_resnet50,f1_dinov2,f1_clip
Arm cover,1.0,0.6666666666666666,0.8571428571428571
Other rover part,0.7368421052631579,0.7619047619047619,0.6363636363636364
Artifact,0.9175627240143368,0.9039145907473308,0.9175627240143368
Nearby surface,0.8172043010752689,0.9005524861878453,0.8421052631578947
Close-up rock,0.6265060240963856,0.7021276595744681,0.6586826347305389
DRT,0.8,0.8,0.6666666666666666
DRT spot,0.0,0.1666666666666666,0.1428571428571428
Distant landscape,0.8888888888888888,0.8611111111111112,0.7532467532467533
Drill hole,0.4,0.6923076923076923,0.88
Night sky,0.1666666666666666,0.2222222222222222,0.2857142857142857
Float,0.1818181818181818,0.25,0.2857142857142857
Layers,0.3870967741935484,0.7741935483870968,0.631578947368421
Light-toned veins,0.2285714285714285,0.0,0.1081081081081081
Mastcam cal target,1.0,0.9491525423728814,0.9655172413793104
Sand,0.4,0.5714285714285714,0.6285714285714286
Sun,0.4166666666666667,0.5185185185185185,0.7777777777777778
Wheel,0.8333333333333334,0.7272727272727273,0.6666666666666666
Wheel joint,0.8,0.8888888888888888,0.6
Wheel tracks,0.0,0.0,0.0
