image_id,y_true,class_name,y_pred,confidence
1940MR0101410370901094D01_DRCL,14,Sand,7,0.904702993320505
2083MH0007060020802216I01_DRCL,12,Light-toned veins,4,0.3895504897874184
2171ML0116940000803938I01_DRCL,13,Mastcam cal target,2,0.5798442230799753
1993MH0002240020800166I01_DRCL,12,Light-toned veins,4,0.7111084540102953
2132MH0001730020802667C00_DRCL,12,Light-toned veins,4,0.3240887511930825
2097MR0111900010604359I01_DRCL,15,Sun,2,0.9127277732916905
2124MR0113770050404871D01_DRCL,3,Nearby surface,6,0.2499742762896559
2173MR0095220000105781I01_DRCL,2,Artifact,13,0.6877832115737237
1935MH0007210030703732C00_DRCL,12,Light-toned veins,4,0.8744245131905005
2095ML0111770010801810D01_DRCL,15,Sun,9,0.9491223467944488
2012ML0106050110800021D01_DRCL,2,Artifact,9,0.7283069863299733
2036MR0107470130903087D01_DRCL,3,Nearby surface,10,0.4110090928165521
